ticker,name,sector,type,market_value,weight,notional_value,shares,price,location,exchange,currency
"AMD","ADVANCED MICRO DEVICES INC","Information Technology","Equity","92,514,519.74","3.02","92,514,519.74","904,699.00","102.26","United States","NASDAQ","USD"
"AAPL","APPLE INC","Information Technology","Equity","87,554,663.28","2.86","87,554,663.28","585,102.00","149.64","United States","NASDAQ","USD"
"KLAC","KLA CORP","Information Technology","Equity","85,794,556.68","2.80","85,794,556.68","231,084.00","371.27","United States","NASDAQ","USD"
"NVDA","NVIDIA CORP","Information Technology","Equity","79,656,496.27","2.60","79,656,496.27","423,457.00","188.11","United States","NASDAQ","USD"
"QCOM","QUALCOMM INC","Information Technology","Equity","76,832,780.48","2.51","76,832,780.48","549,748.00","139.76","United States","NASDAQ","USD"
"NOW","SERVICENOW INC","Information Technology","Equity","71,850,251.66","2.35","71,850,251.66","150,854.00","476.29","United States","New York Stock Exchange Inc.","USD"
"MCHP","MICROCHIP TECHNOLOGY INC","Information Technology","Equity","70,007,383.88","2.29","70,007,383.88","961,772.00","72.79","United States","NASDAQ","USD"
"DSY","DASSAULT SYSTEMES","Information Technology","Equity","67,733,488.08","2.21","67,733,488.08","1,604,140.00","42.22","France","Nyse Euronext - Euronext Paris","EUR"
"SPLK","SPLUNK INC","Information Technology","Equity","66,416,973.00","2.17","66,416,973.00","612,138.00","108.50","United States","NASDAQ","USD"
"AME","AMETEK INC","Industrials","Equity","66,270,453.60","2.16","66,270,453.60","541,160.00","122.46","United States","New York Stock Exchange Inc.","USD"
"FTV","FORTIVE CORP","Industrials","Equity","64,918,464.00","2.12","64,918,464.00","1,047,072.00","62.00","United States","New York Stock Exchange Inc.","USD"
"TER","TERADYNE INC","Information Technology","Equity","63,129,051.20","2.06","63,129,051.20","577,048.00","109.40","United States","NASDAQ","USD"
"HEXA B","HEXAGON CLASS B","Information Technology","Equity","61,642,003.73","2.01","61,642,003.73","5,025,992.00","12.26","Sweden","Nasdaq Omx Nordic","SEK"
"ISRG","INTUITIVE SURGICAL INC","Health Care","Equity","59,044,448.96","1.93","59,044,448.96","257,656.00","229.16","United States","NASDAQ","USD"
"ANSS","ANSYS INC","Information Technology","Equity","58,158,448.22","1.90","58,158,448.22","219,781.00","264.62","United States","NASDAQ","USD"
